代码,名称,原总市值(亿),预测总市值(亿),市值差比率
600684,珠江实业,34.2,49.9,45.91%
600685,中船防务,146.0,84.55,-42.09%
600686,金龙汽车,45.8,51.69,12.86%
600687,刚泰控股,66.5,58.8,-11.58%
600688,上海石化,560.0,454.58,-18.83%
600689,上海三毛,19.5,29.16,49.54%
600690,青岛海尔,896.0,855.42,-4.53%
600691,阳煤化工,44.1,57.7,30.84%
600692,亚通股份,23.4,33.4,42.74%
600693,东百集团,47.2,49.98,5.89%
600694,大商股份,73.4,-9.83,-113.39%
600695,绿庭投资,37.4,28.03,-25.05%
600697,欧亚集团,29.5,9.81,-66.75%
600698,湖南天雁,45.2,44.3,-1.99%
600699,均胜电子,209.0,204.85,-1.99%
600701,*ST工新,26.8,29.94,11.72%
600702,舍得酒业,75.8,113.01,49.09%
600703,三安光电,474.0,536.05,13.09%
600704,物产中大,208.0,193.45,-7.00%
600705,中航资本,404.0,500.1,23.79%
600706,曲江文旅,19.1,24.65,29.06%
600707,彩虹股份,155.0,183.38,18.31%
600708,光明地产,81.6,88.42,8.36%
600710,苏美达,61.7,-1.82,-102.95%
600711,盛屯矿业,92.5,98.27,6.24%
600713,南京医药,44.9,39.7,-11.58%
600714,金瑞矿业,18.0,21.05,16.94%
600715,文投控股,88.3,95.56,8.22%
600716,凤凰股份,32.7,22.18,-32.17%
600717,天津港,125.0,110.42,-11.66%
600718,东软集团,140.0,134.79,-3.72%
600719,大连热电,16.3,22.14,35.83%
600720,祁连山,51.6,42.41,-17.81%
600721,百花村,21.9,11.48,-47.58%
600722,金牛化工,32.0,29.67,-7.28%
600723,首商股份,42.5,29.12,-31.48%
600724,宁波富达,49.6,48.16,-2.90%
600726,华电能源,48.0,37.54,-21.79%
600728,佳都科技,115.0,104.31,-9.30%
600729,重庆百货,113.0,129.72,14.80%
600730,中国高科,29.5,27.73,-6.00%
600731,湖南海利,16.3,12.6,-22.70%
600733,北汽蓝谷,277.0,146.82,-47.00%
600734,实达集团,55.5,47.92,-13.66%
600735,新华锦,21.4,24.39,13.97%
600736,苏州高新,65.3,65.94,0.98%
600737,中粮糖业,151.0,178.5,18.21%
600738,兰州民百,48.5,38.79,-20.02%
600739,辽宁成大,161.0,214.35,33.14%
600740,山西焦化,117.0,122.54,4.74%
600741,华域汽车,591.0,635.36,7.51%
600742,一汽富维,52.8,37.18,-29.58%
600743,华远地产,60.1,84.62,40.80%
600744,华银电力,49.5,51.61,4.26%
600745,闻泰科技,130.0,144.24,10.95%
600747,ST大控,20.1,17.83,-11.29%
600748,上实发展,97.8,93.84,-4.05%
600749,*ST藏旅,21.7,24.41,12.49%
600750,江中药业,70.3,85.23,21.24%
600751,海航科技,83.8,114.3,36.40%
600754,锦江股份,203.0,174.0,-14.29%
600755,厦门国贸,129.0,151.26,17.26%
600756,浪潮软件,50.1,62.64,25.03%
600757,长江传媒,82.2,103.57,26.00%
600758,红阳能源,45.9,32.17,-29.91%
600759,洲际油气,57.3,70.9,23.73%
600760,中航沈飞,433.0,216.54,-49.99%
600761,安徽合力,68.2,57.47,-15.73%
600763,通策医疗,150.0,254.32,69.55%
600764,中国海防,94.4,131.63,39.44%
600765,中航重机,68.2,84.16,23.40%
600767,ST运盛,15.9,23.83,49.87%
600768,宁波富邦,13.8,45.64,230.72%
600770,综艺股份,67.7,82.31,21.58%
600771,广誉远,93.5,121.46,29.90%
600773,西藏城投,52.3,65.68,25.58%
600774,汉商集团,28.2,52.03,84.50%
600775,南京熊猫,75.6,62.3,-17.59%
600776,东方通信,187.0,154.41,-17.43%
600777,新潮能源,142.0,156.32,10.08%
600778,*ST友好,14.6,14.94,2.33%
600779,水井坊,144.0,186.4,29.44%
600780,通宝能源,39.2,51.0,30.10%
600781,辅仁药业,78.3,48.94,-37.50%
600782,新钢股份,161.0,250.06,55.32%
600783,鲁信创投,122.0,145.38,19.16%
600784,鲁银投资,29.5,35.43,20.10%
600785,新华百货,37.9,41.95,10.69%
600787,中储股份,115.0,105.29,-8.44%
600789,鲁抗医药,54.3,58.0,6.81%
600790,轻纺城,57.8,63.8,10.38%
600791,京能置业,18.1,26.18,44.64%
600792,云煤能源,28.4,30.02,5.70%
600793,宜宾纸业,16.2,17.24,6.42%
600794,保税科技,35.8,34.81,-2.77%
600795,国电电力,509.0,549.6,7.98%
600796,钱江生化,17.1,21.87,27.89%
