最新,市盈率,市净率,所属行业,流通市值,营业总收入同比,营业总收入,营业利润,每股收益,流动资产,利润总额,每股净资产,归属净利润同比,未分配利润,每股未分配利润,销售毛利率,总资产,流动资产1,固定资产,无形资产,资产负债比率,公积金,总负债,流动负债,长期负债,每股公积金,归属净利润
5.03,15.66,1.33,48.0,129.0,11.84,185.0,7.54,0.24,120.0,7.71,3.79,42.92,36.0,1.33,13.77,225.0,120.0,61.8,16.1,53.61,34.8,121.0,87.7,32.9,1.28,6.54
6.83,-53.52,1.04,29.0,13.7,30.67,18.7,-0.4323,-0.1,20.7,-0.4469,6.55,-162.88,-0.444,-0.09,35.88,43.9,20.7,0.9608,2.33,29.95,26.3,13.2,9.12,4.04,5.59,-0.4498
15.22,66.87,5.29,6.0,21.5,10.1,6.49,0.4604,0.17,8.27,0.4565,2.88,30.75,1.37,0.97,27.84,10.7,8.27,2.13,0.14,53.44,0.8912,5.74,4.67,1.07,0.63,0.2416
13.75,45.89,1.27,31.0,189.0,-8.73,112.0,3.97,0.22,297.0,4.12,10.83,206.58,63.2,4.59,10.8,456.0,297.0,80.6,11.0,55.22,65.7,252.0,164.0,88.3,4.77,3.1
4.35,-19.33,1.13,50.0,60.4,15.34,50.0,-2.35,-0.17,65.3,-2.27,3.84,0.79,-8.94,-0.62,11.64,141.0,65.3,42.0,6.47,55.85,46.9,78.9,64.0,14.9,3.27,-2.42
6.28,21.51,1.87,50.0,18.5,-0.53,11.2,0.9109,0.22,15.0,0.9175,3.36,149.57,1.24,0.28,16.55,26.7,15.0,3.26,0.4183,45.08,8.6,12.1,11.4,0.6689,1.95,0.9654
7.31,9.05,0.84,23.0,207.0,27.1,1833.0,31.1,0.61,2131.0,31.0,8.71,5.34,182.0,6.42,4.74,2413.0,2131.0,14.2,4.09,79.93,24.5,1929.0,1359.0,570.0,0.86,17.2
8.14,42.82,0.94,12.0,91.8,-10.5,13.5,3.55,0.14,291.0,3.57,8.64,9.4,-3.24,-0.19,77.26,394.0,291.0,2.19,0.8837,60.99,137.0,240.0,184.0,55.9,7.89,2.48
4.45,-62.75,2.98,29.0,17.9,30.16,6.81,-0.2755,-0.05,5.95,-0.2754,1.49,55.65,0.3004,0.07,2.47,10.0,5.95,1.23,1.39,37.52,1.48,3.76,3.46,0.2987,0.37,-0.2139
1.74,521.69,0.89,46.0,216.0,-3.03,166.0,4.23,0.0,117.0,4.21,1.96,-92.45,23.6,0.19,24.71,1077.0,117.0,270.0,508.0,73.49,93.2,791.0,425.0,367.0,0.75,0.3108
9.27,132.29,4.72,51.0,60.9,7.93,7.4,0.5347,0.05,38.1,0.5433,1.96,12.58,6.61,0.78,22.65,45.1,38.1,0.8091,0.1406,57.29,0.2389,25.8,24.7,1.13,0.03,0.4434
6.73,8.38,1.5,34.0,179.0,19.47,120.0,20.5,0.6,88.1,20.6,4.48,104.66,42.3,1.54,24.98,161.0,88.1,48.7,6.32,21.86,47.0,35.2,33.2,2.02,1.71,16.5
19.34,31.86,5.09,22.0,168.0,27.68,20.6,6.9,0.46,33.9,6.92,3.8,-60.39,19.3,2.22,48.27,49.0,33.9,8.72,2.49,12.8,2.59,6.27,6.2,0.0737,0.3,3.97
2.27,20.49,1.6,7.0,67.5,-0.32,27.6,3.24,0.08,152.0,3.2,1.41,-31.45,13.6,0.4,46.7,202.0,152.0,8.79,1.09,74.15,0.1424,150.0,106.0,44.1,0.0,2.82
